,q38,q49,se3a
11677,,2.0,2
11678,2.0,3.0,6
11679,2.0,2.0,8
11680,1.0,2.0,3
11681,2.0,1.0,8
11682,1.0,2.0,3
11683,2.0,4.0,8
11684,2.0,2.0,6
11685,2.0,1.0,4
11686,2.0,4.0,7
11687,2.0,2.0,7
11688,2.0,2.0,10
11689,2.0,3.0,12
11690,1.0,3.0,4
11691,2.0,2.0,2
11692,2.0,3.0,11
11693,2.0,2.0,10
11694,2.0,1.0,5
11695,2.0,4.0,10
11696,2.0,3.0,5
11697,2.0,4.0,6
11698,2.0,2.0,10
11699,2.0,3.0,12
11700,1.0,1.0,5
11701,2.0,2.0,5
11702,1.0,1.0,11
11703,,1.0,10
11704,2.0,2.0,8
11705,2.0,1.0,10
11706,2.0,2.0,9
11707,2.0,3.0,12
11708,2.0,1.0,10
11709,2.0,2.0,8
11710,,1.0,3
11711,2.0,4.0,8
11712,2.0,2.0,7
11713,2.0,1.0,10
11714,2.0,3.0,8
11715,2.0,1.0,7
11716,2.0,2.0,3
11717,1.0,2.0,3
11718,2.0,1.0,8
11719,2.0,1.0,10
11720,2.0,2.0,7
11721,2.0,3.0,10
11722,2.0,3.0,5
11723,2.0,2.0,8
