,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
6818,1.0,3.0,9.0,2.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
6819,1.0,3.0,8.0,1.0,3.0,3.0,2.0,4.0,2.0,Strongly disagree,25-29,Yes
6820,1.0,2.0,7.0,2.0,2.0,3.0,4.0,2.0,,Somewhat agree,20-24,No
6821,1.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,Somewhat agree,20-24,Yes
6822,1.0,3.0,7.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
6823,1.0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,,Somewhat agree,20-24,No
6824,1.0,2.0,8.0,2.0,2.0,2.0,3.0,3.0,,Somewhat disagree,20-24,No
6825,1.0,3.0,7.0,2.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,25-29,No
6826,1.0,2.0,8.0,,3.0,3.0,3.0,2.0,2.0,Somewhat agree,20-24,Yes
6827,1.0,3.0,8.0,,2.0,2.0,3.0,3.0,1.0,Somewhat disagree,25-29,No
6828,1.0,5.0,7.0,2.0,4.0,3.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6829,1.0,5.0,9.0,2.0,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6830,1.0,5.0,9.0,,3.0,3.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
6831,1.0,4.0,9.0,2.0,2.0,2.0,3.0,3.0,1.0,Somewhat disagree,30-34,No
6832,1.0,4.0,7.0,1.0,1.0,2.0,3.0,3.0,1.0,Somewhat disagree,30-34,No
6833,1.0,4.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
6834,1.0,4.0,8.0,2.0,3.0,2.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
6835,1.0,4.0,9.0,,4.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
6836,1.0,4.0,7.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
6837,1.0,4.0,7.0,,2.0,3.0,3.0,3.0,1.0,Somewhat disagree,30-34,No
6838,1.0,6.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
6839,1.0,7.0,7.0,2.0,3.0,3.0,2.0,4.0,2.0,Strongly disagree,45-49,Yes
6840,1.0,6.0,9.0,1.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
6841,1.0,6.0,7.0,2.0,2.0,3.0,3.0,4.0,2.0,Strongly disagree,40-44,Yes
6842,1.0,6.0,7.0,2.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,40-44,Yes
6843,1.0,7.0,7.0,,3.0,3.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
6844,1.0,7.0,9.0,3.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,45-49,Yes
6845,1.0,7.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,Somewhat agree,45-49,No
6846,1.0,6.0,8.0,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
6847,1.0,6.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
6848,1.0,8.0,7.0,,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
6849,1.0,8.0,9.0,,3.0,3.0,3.0,2.0,2.0,Somewhat agree,50-54,Yes
6850,1.0,8.0,9.0,3.0,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
6851,1.0,8.0,7.0,1.0,1.0,3.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
6852,1.0,8.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
6853,1.0,10.0,7.0,,3.0,3.0,3.0,2.0,2.0,Somewhat agree,60-70,Yes
6854,1.0,10.0,7.0,3.0,4.0,2.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
6855,1.0,10.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,60-70,No
6856,1.0,10.0,7.0,,2.0,3.0,2.0,3.0,1.0,Somewhat disagree,60-70,No
6857,2.0,2.0,8.0,,2.0,2.0,2.0,2.0,1.0,Somewhat agree,20-24,No
