,country,q127,q098,q130,q106,q131,q005,q006,q111,name
201,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,Korea
202,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
203,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,Korea
204,4.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,Korea
205,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,Korea
206,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,Korea
207,4.0,2.0,3.0,2.0,4.0,2.0,4.0,5.0,4.0,Korea
208,4.0,,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
209,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,Korea
210,4.0,3.0,3.0,,4.0,2.0,4.0,4.0,4.0,Korea
211,4.0,2.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,Korea
212,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,Korea
213,4.0,2.0,3.0,2.0,4.0,3.0,5.0,,5.0,Korea
214,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,Korea
215,4.0,2.0,,2.0,4.0,2.0,4.0,,5.0,Korea
216,4.0,2.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,Korea
217,4.0,2.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,Korea
218,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,Korea
219,4.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,Korea
220,4.0,3.0,3.0,2.0,3.0,2.0,,4.0,4.0,Korea
221,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,Korea
222,4.0,2.0,3.0,,4.0,,2.0,5.0,4.0,Korea
223,4.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,5.0,Korea
224,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,5.0,Korea
225,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,Korea
226,4.0,2.0,4.0,2.0,2.0,3.0,2.0,,4.0,Korea
227,4.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,Korea
