,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
8250,6.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,4.0,5.0,Philippines
8251,6.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Philippines
8252,6.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,2.0,Philippines
8253,6.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,Philippines
8254,6.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,Philippines
8255,6.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,Philippines
8256,6.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,Philippines
8257,6.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,Philippines
8258,6.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,Philippines
8259,6.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,Philippines
8260,6.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,Philippines
8261,6.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,Philippines
8262,6.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,Philippines
8263,6.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,Philippines
8264,6.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,Philippines
8265,6.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,3.0,Philippines
8266,6.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,Philippines
8267,6.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,Philippines
8268,6.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Philippines
8269,6.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,Philippines
8270,6.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,Philippines
8271,6.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,Philippines
8272,6.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,Philippines
8273,6.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,Philippines
8274,6.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Philippines
8275,6.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,Philippines
8276,6.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,Philippines
8277,6.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,Philippines
8278,6.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,Philippines
8279,6.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,Philippines
8280,6.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,Philippines
8281,6.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,Philippines
8282,6.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,Philippines
8283,6.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,Philippines
8284,6.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,Philippines
8285,6.0,1.0,,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,Philippines
8286,6.0,1.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,Philippines
8287,6.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,Philippines
8288,6.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,Philippines
8289,6.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,Philippines
8290,6.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,Philippines
8291,6.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,Philippines
8292,6.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,Philippines
8293,6.0,2.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,Philippines
8294,6.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,Philippines
8295,6.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,Philippines
8296,6.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,Philippines
8297,6.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,Philippines
8298,6.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,Philippines
8299,6.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,Philippines
8300,6.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,Philippines
8301,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,Philippines
8302,6.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,Philippines
8303,6.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,Philippines
8304,6.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,Philippines
8305,6.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,Philippines
8306,6.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,Philippines
8307,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,Philippines
8308,6.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,Philippines
8309,6.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,Philippines
8310,6.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,Philippines
8311,6.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,Philippines
8312,6.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,Philippines
8313,6.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,Philippines
8314,6.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,Philippines
8315,6.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0,Philippines
8316,6.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,Philippines
